artist_name,track_name,release_date,genre,lyrics
The Neighbourhood,Wiped Out!,2015,indie-rock,"Lost and afraid, young and innocent but getting older I don't wanna be alone, I don't wanna be alone Sharper the blade is, the easier it scars your soul I don't wanna be alone, I don't wanna be alone  My current state is heavy Hope it's a phase or something  Don't let me go  Up and away, I'm an alien, I need a moment I don't know what to believe All I wanna do is leave What can I say that would make you see, make you need me? Maybe I won't ever know, maybe I'll end up alone  Running in place (Circles, in circles with you) Don't mind me, out in a race (I didn't mean to be here)  Watch me go I don't wanna let you down So, promise you won’t let me drown You might also like How can you feel the way that I'm feeling If you're not inside of my head? I got the pressure, it's pushing my buttons And making me think about death I got some mixed emotions about how I've been getting to all these checks Acting all funny because of the money It's making my tummy upset How can you feel the way that I'm feeling If you're not inside of my head? I got the pressure, it's pushing my buttons And making me think about death Somebody find me a balance Look what I did to myself and my friends Emotions are paying the rent, oh Emotions are paying the rent, oh  I'm back and forth, I think I'm going crazy I'm back and forth, I can't make up my mind I'm up and down, I'm never sad I'm up and down, I'm never satisfied I'm back and forth, I think I'm going crazy I'm back and forth, I can't make up my mind I'm up and down, I'm never sad I'm up and down, I'm never satisfied I'm back and forth, I think I'm going crazy I'm back and forth, I can't make up my mind I'm up and down, I'm never sad I'm up and down, I'm never satisfied I'm back and forth, I think I'm going crazy I'm back and forth, I can't make up my mind I'm up and down, I'm never sad I'm up and down, I'm never satisfied32Embed"
​ssshhhiiittt!,надежда (hope),2020,indie-rock,"День распадается на тысячи фраз, оставляя внутри меня свет И так много жизней, и я был так рад, но больше этого нет Я хочу смотреть на собак, я хочу собирать цветы Я не причастен к наземным делам, для них у меня нет сил Наверное  Бесконечно курим Ведь так хочется курить и так хочется забыть Всё, что мне мешало жить И всё вокруг ценить, разрываю эту нить Обними, пожалуйста, не дай в себя уйти У меня есть два пути: Либо снова уничтожить всё и к началу прийти Либо снова научиться верить в солнечные дни  Утро настало и из домов Повылазили страшные тени Они угнетают, зачем они мне? Вспоминаю, как мы хотели Купаться в лучах и никаких дел Наивно, по-детски, но по-настоящему Вырос, но так и не стал взрослым Что мне теперь с этим делать? Ведь я всё испортил You might also like Бесконечно курим Ведь так хочется курить, и так хочется забыть Всё, что мне мешало жить И всё вокруг ценить, разрываю эту нить Обними, пожалуйста, не дай в себя уйти У меня есть два пути: Либо снова уничтожить всё и к началу прийти Либо снова научиться верить в солнечные дни10Embed"
Lovejoy,"Oh Yeah, You Gonna Cry?",2021,indie-rock,"Yeah, heh heh  You got the same eyes as your father And you carry the same kind of temper too But what a shame for the people of the community Favourite things, fight and a lager Name a better way to spin out a jar or two He's a model citizen, through and through, you know But I quite like your girlfriend! How the fuck did she end up with you? You know we talk about all the dumb shit you do In the back room of the bar In the backseat of my car I'm the ending, she's the start  Well, now, now, you need to calm down What good's this energy? (It's no good!) When you devote it to me Why not be a little more friendly? Now, now, you need to calm down Does she still think of me? Say my name in her sleep? I thought you knew her better than me You might also like Don't give me that face You know that the chase is through And, well, she's still running away from you You got the same eyes as your father And you carry the same kind of temper too You know, she told me that she fuckin' hates you  Now, now, you need to calm down What good's this energy? (It's no good!) When you devote it to me Why not be a little more friendly? Now, now, you need to calm down Does she still think of me? Say my name in her sleep? I thought you knew her better than me?  Woo! Yeah! I thought you knew her better than me (Woo!)  Well now, now, you need to calm down What good's this energy? When you devote it to me Why not be a little more friendly? Now, now, you need to calm down What good's this energy? (It's no good!) When you devote it to me Why not be a little more friendly? Now, now, you need to calm down Does she still think of me? Say my name in her sleep I thought you knew her better than me55Embed"
Arctic Monkeys,Old Yellow Bricks,2007,indie-rock,"Old yellow bricks, love's a risk Quite the little escapologist Looked so miffed when you wished For a thousand places better than this You are the fugitive but you don't know what you're running from You can't kid us and you couldn't trick anyone Houdini, love, you don't know what you're running away from  Who wants to sleep in a city that never wakes up? Blinded by nostalgia Who wants to sleep in a city that never wakes up?  She was enraged by the way That the emperors were trapped in the cage And the days she deemed dull Leading to nights reading beer bottles You're such a fugitive but you don't know what you're running from You can't kid us and you couldn't trick anyone Houdini, love, you don't know what you're running away from  Who wants to sleep in a city that never wakes up? Blinded by nostalgia Who wants to sleep in a city that never wakes up? You might also like You're at a loss just because It wasn't all that you thought it was You are the fugitive but you don't know what you're running away from She said, I want to sleep in the city that never wakes up And revel in nostalgia I know I said, Who wants to sleep in a city that never wakes up? But Dorothy was right though59Embed"
TV Girl,Cigarettes out the Window,2016,indie-rock,"Boy now who smokes cigarettes out that window Boy now who smokes cigarettes out that window  My girl Liddy used to always smoke Cigarettes when she couldn't sleep She'd disappear for an hour and a half And when she'd come back, she'd brush her teeth But I could still smell it on her raggedy tee And I could taste it on her lips when we kissed Poor little Liddy used to always quit But she never really quit She'd just say she did  Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh)  My girl Liddy used to always smoke Cigarettes when she couldn't sleep I wonder what she did when she got done I guess she'd just flick them out in the street Poor little Liddy, she wishes it was dark But it's never really dark in LA The light from the billboard always shines But it changed twelve times since you went away You might also like Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh) Boy now who smokes cigarettes out that window (Ooh-ooh)  You'll find moonlit nights strangely empty because when you call my name through them there'll be no answer Rather melodramatic, aren't you? You'll find moonlit nights strangely empty because when you call my name through them there'll be no answer You mind if I smoke? You'll find moonlit nights strangely empty because when you call my name through them there'll be no answer (Ooh-ooh) I always smoke with the theatre You'll find moonlit nights strangely empty because when you call my name through them there'll be no answer (Ooh-ooh) Somehow it enhances the performance12Embed"
Pinegrove,Old Friends,2016,indie-rock,"Walking outside labyrinthian Over cracks along under the trees I know this town grounded in a compass Cardinal landing in the dogwood I keep going over it over and over My steps iterate my shame How come every outcome's such a comedown? Lately afternoon with the shades drawn down  Kept saying I just wanted to see you Saying, What's wrong with that? Needles shaking outlines in a compass Every outcome's such a comedown  I knew it when I saw it So, I did just what I wanted So, I go through with this I knew happiness when I saw it  I saw your boyfriend at the Port Authority Sort of fucked up place Well so I averted my stride on a quick one He's coming back from going over to your place, huh? You might also likeI feel like I could forget about it I feel like I could mellow out I don't feel undone in a big way There's nothing really bad to be upset about  But when I thought I was getting better I woke up on the ground An appointment or a disappointment A setback, oh, another comedown  As if I needed a reminder Oh, I do only what I wanna So, I go through with this  Walking out in the nighttime springtime Needling my way home I saw Leah on the bus a few months ago I saw some old friends at her funeral My steps keep splitting my grief Through these solipsistic moods I should call my parents when I think of them Should tell my friends when I love them Maybe I should have gone out a bit more When you guys were still in town I got too caught up in my own shit That's how every outcome's such a comedown  And I knew it when I saw it Oh, I did just what I wanted So, I go through with this I knew happiness when I saw it (And I saw it)10Embed"
​girl in red,Serotonin,2021,indie-rock,"I'm running low on serotonin Chemical imbalance got me twisting things Stabilize with medicine There's no depth to these feelings Dig deep, can't hide From the corners of my mind I'm terrified of what's inside  I get intrusive thoughts Like cutting my hands off Like jumping in front of a bus Like how do I make this stop When it feels like my therapist hates me? Please don't let me go crazy Put me in a field with daisies Might not work, but I'll take a maybe Oh, been breaking daily But only me can save me So I'm capitulating, crying likе a fucking baby I don't wanna miss it, ba-da I don't wanna be sick, ah-da I don't, la-ba-deh-deh-ba-dеh Da-da-da-brah-la-da-da You might also like I'm running low on serotonin Chemical imbalance got me twisting things Stabilize with medicine There's no depth to these feelings Dig deep, can't hide From the corners of my mind I'm terrified of what's inside  I get intrusive thoughts Like burning my hair off Like hurting somebody I love Like, does it ever really stop? When there's control, I lose it Incredibly impulsive So scared I'm gonna end up doing something stupid But I try to contain it Oh, it gets so draining It's like my heart is failing Every night, I'm contemplating My inner voice is saying tough So I try to brush it off Yeah, I try to brush it off  I'm running low on serotonin Chemical imbalance got me twisting things Stabilize with medicine But there's no depth to these feelings Dig deep, can't hide From the corners of my mind I'm terrified of what's inside Kan man ikke, kan man kjenne i hjertet at, hvis man får blodpropp? Jeg følte liksom flere ganger at hjertet mitt slutta å slå at, og sånn at Eller, som jeg fortalte, at jeg ble helt sånn tung og rar i kroppen47Embed"
Big Thief,Paul,2016,indie-rock,"Oh, the last time I saw Paul I was horrible and almost let him in But I stopped and caught the wall And my mouth got dry so all I did was take him for a spin Yeah, we hopped inside my car And I drove in circles 'round the freight train yard And he turned the headlights off Then he pulled the bottle out And then he showed me what was love  I'll be your morning bright goodnight shadow machine I'll be your record player, baby, if you know what I mean I'll be your real tough cookie with the whiskey breath I'll be a killer and a thriller and the cause of our death  In the blossom of the months I was sure that I'd get driven off with thought So I swallowed all of it As I realized there was no one who could kiss away my shit  I'll be your morning bright goodnight shadow machine I'll be your record player baby if you know what I mean I'll be your real tough cookie with the whiskey breath I'll be a killer and a thriller and the cause of our death You might also like Paul, I know you said that you'd take me any way I came or went But I'll push you from my brain See, you're gentle, baby I couldn't stay, I'd only bring you pain  I was your starry-eyed lover and the one that you saw I was your hurricane rider and the woman you'd call We were just two moonshiners on the cusp of a breath And I've been burning for you baby since the minute I left20Embed"
Radiohead,House of Cards,2007,indie-rock,"I don't want to be your friend I just want to be your lover No matter how it ends No matter how it starts  Forget about your house of cards And I'll do mine Forget about your house of cards And I'll do mine And fall off the table, get swept under Denial, denial  The infrastructure will collapse From voltage spikes Throw your keys in the bowl Kiss your husband 'goodnight'  And forget about your house of cards And I'll do mine Forget about your house of cards And I'll do mine Fall off the table, get swept under Denial, denial Denial, denial (Your ears should be burning) Denial, denial (Your ears should be burning)You might also like23Embed"
Rainbow Kitten Surprise,Cocaine Jesus,2013,indie-rock,"Listen in, it isn't when you're talking for your name's sake Jesus, Mary Magdalene you are, are you okay? Sitting by the well, Jill you’re falling down the hill Jack and everybody laughed Don't you pray, don't you pray?  To a Cocaine Jesus in a black four-seater Got a man, don't need him, but you wait Call me when you want, or just call me when you need it If you only ever need it for the day  High won't hold, won't hold And I have no more than all you left of me I have, I have, I have no more than all you leave  High as hell, feeling fine, nothing bad but nothing kind Not, not a word from me, at least nothing you would mind In my head, in my head I get lonely sometimes Feeling fly, coming down, never bad cause we're never out You'll never call the cops again, I'll never call her mine In my head, in my head I get lonely sometimes You might also like When you find an old picture of us And you clear away the dust I hope you miss me sometimes When you see a frame that reminds you of me Do you remember the times Oh the times that we believed?  In a Cocaine Jesus in a black four-seater Got a man, don't need him, but you wai-ai-ai-ait Call me when you want, or just call me when you need it If you only ever need it for the day  High won't hold, won't hold And I have no more than all you left of me I have, I have, I have no more than all you leave  And I'm nothing more than a page unwritten on the pavement Blowing in the wind You win a lot and lose just a little bit more Than you gained in the end But God I wish that I was better than I am But no luck, no love, no Gospel I could understand I'm nothing that you ever wanted to lean on, yeah But even then When you find an old picture of us And you clear away the dust I hope you miss me sometimes When you see a frame that reminds you of me Do you remember the times Oh the times that we believed?  In a Cocaine Jesus in a black four-seater Got a man, don't need him, but you wait Call me when you want, or just call me when you need it If you only ever need it for the day  Today I'm just a page unwritten on the pavement You needed 'til you left But I'm more than a need or a thing you believe Or a word that you leave unsaid11Embed"
Radiohead,Subterranean Homesick Alien,1997,indie-rock,"The breath of the morning I keep forgetting The smell of the warm summer air I live in a town where you can't smell a thing You watch your feet for cracks in the pavement Up above aliens hover Making home movies for the folks back home Of all these weird creatures who lock up their spirits Drill holes in themselves and live for their secrets  They're all uptight, uptight Uptight, uptight Uptight, uptight  I wish that they'd swoop down in a country lane Late at night when I'm driving Take me on board their beautiful ship Show me the world as I'd love to see it I'd tell all my friends but they'd never believe me They'd think that I'd finally lost it completely I'd show them the stars and the meaning of life They'd shut me away  But I'd be alright, alright Mom, I'm alright, alright You might also like I'm just uptight, uptight Uptight, uptight Uptight, uptight Uptight, uptight Uptight32Embed"
The Strokes,Last Nite,2001,indie-rock,"Last night, she said Oh, baby, I feel so down Oh, it turn me off When I feel left out So I, I turned 'round Oh, baby, don't care no more I know this for sure I'm walkin' out that door Well, I've been in town for just 'bout fifteen, oh, minutes now And, baby, I feel so down And I don't know why I keep walkin' for miles  And see people, they don't understand No, girlfriends, they can't understand Your grandsons, they won't understand On top of this, I ain't ever gonna understand  Last night, she said Oh, baby, don't feel so down Oh, it turn me off When I feel left out So I, I turned 'round Oh, baby, gonna be alright It was a great big lie 'Cause I left that night, yeah You might also like  Oh, people, they don't understand No, girlfriends, they don't understand In spaceships, they won't understand And me, I ain't ever gonna understand  Last night, she said Oh, baby, I feel so down See, it turn me off When I feel left out So I, I turned 'round Oh, little girl, I don't care no more I know this for sure I'm walkin' out that door, yeah39Embed"
Arctic Monkeys,Stop the World I Wanna Get Off With You,2013,indie-rock,"Open Sesame (We've places to go) We've people to see (Let's put 'em on hold) There's all sorts of shapes that I bet you can make When you want to escape, say the word  Well, I know that getting you alone isn't easy to do With the exception of you, I dislike everyone in the room And I don't wanna lie, but I don't wanna tell you the truth Get the sense that you're on the move And you'll probably be leaving soon, so I'm telling you  Stop the world 'cause I wanna Get off with you Stop the world 'cause I wanna Get off with you  Eyes the colour of (Water left in mud) Icing sugar dust (Crazy green flashes) It's a funny thing that I cannot explain Don't you know the train keeps a-rolling?  Stop the world 'cause I wanna Get off with you Stop the world 'cause I wanna Get off with you You might also like  Well, I know that getting you alone isn't easy to do And I don't wanna lie, and I don't wanna tell you the truth And I know we got places to go, we got people to see Think we both oughta put 'em on hold and I know you agree  Stop the world 'cause I wanna Get off with you Stop the world 'cause I wanna Get off with you49Embed"
